player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,opp,player_position,player_cost,gwk_34_pts
1,Fernandes,100,449.0,3.00,4,3.00,"LIV ",MID,11.5,0
2,Kane,100,360.0,6.80,2,9.00,"SHU ",FWD,11.8,2
3,Salah,100,379.0,5.60,4,3.00,"MUN ",MID,12.6,0
4,Son,100,315.0,4.00,2,5.00,"SHU ",MID,9.5,12
5,Bamford,100,365.0,4.00,3,2.00,"BHA ",FWD,6.5,1
6,Martínez,100,450.0,2.40,3,2.70,"EVE ",GKP,5.4,2
7,Vardy,100,444.0,5.80,2,2.00,"SOU ",FWD,10.3,2
8,Rashford,100,400.0,4.40,4,2.00,"LIV ",MID,9.6,0
9,Dallas,100,450.0,5.60,3,2.00,"BHA ",DEF,5.2,1
10,Watkins,100,450.0,5.40,3,4.20,"EVE ",FWD,6.6,8
11,Gündogan,100,212.0,0.80,3,8.00,"CRY ",MID,5.8,0
12,Meslier,100,450.0,4.20,3,0.00,"BHA ",GKP,4.7,2
13,Calvert-Lewin,100,270.0,2.00,2,2.00,"AVL ",FWD,7.5,8
14,Sterling,100,207.0,1.60,3,8.00,"CRY ",MID,11.1,3
15,Mané,100,355.0,4.60,4,3.00,"MUN ",MID,11.7,0
16,Ederson,100,450.0,3.20,3,6.00,"CRY ",GKP,6.1,7
17,Pope,100,270.0,2.00,4,2.00,"WHU ",GKP,5.5,1
18,Cresswell,50,232.0,0.20,2,8.00,"BUR ",DEF,5.7,2
19,Mount,100,393.0,4.20,2,11.00,"FUL ",MID,7.3,6
20,Dias,100,344.0,3.00,3,11.00,"CRY ",DEF,6.1,0
21,Mahrez,100,227.0,4.60,3,0.00,"CRY ",MID,8.0,0
22,Wan-Bissaka,100,450.0,3.80,4,6.00,"LIV ",DEF,5.7,0
23,Harrison,100,337.0,5.60,3,2.00,"BHA ",MID,5.4,2
24,Ward-Prowse,100,450.0,3.80,4,2.00,"LEI ",MID,5.8,10
25,Pereira,100,404.0,8.80,2,15.00,"WOL ",MID,5.5,2
26,Soucek,100,450.0,2.80,2,2.00,"BUR ",MID,5.3,2
27,Grealish,0,0.0,0.00,4,7.00,"MUN ",MID,7.5,0
28,Robertson,100,420.0,4.40,4,6.00,"MUN ",DEF,7.1,0
29,Lloris,100,450.0,3.20,2,3.00,"SHU ",GKP,5.6,6
30,Bowen,100,390.0,6.60,2,3.00,"BUR ",MID,6.0,1
31,"De Bruyne",75,337.0,5.60,2,2.00,"NEW ",MID,11.9,0
